month,stock,code,status,hs300_return,curr_return,excess_return_curr,next_return,excess_return_next,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
127,000001.SZ,000001,1,-0.258506,-0.2469625,0.0115435,0.058249199999999994,-0.0416868,1.03801,1.05899,0.0135939,0.193426,1.76389,1.90984,-1.19733,0.637944,0.0842488,0.219802,0.794671,-0.61262,0.744575,0.666074,0.474195,0.41715,0.0,0.0,0.463577,0.51933,0.150626,0.0851924,1.66536,1.76811,-0.0538139,-0.294019,0.0,0.0,0.134009,-1.43936,0.613942,0.568286,0.478219,0.610603,0.294234,0.294498,0.494748,0.582691,0.449864,0.484215,0.495137,0.555883,0.40941,0.145828,-0.0698234,-0.600362,-0.440169,-0.0311662,-0.30003,-0.724072,-1.39266,-1.37385,-0.0844783,0.298141,0.316239,0.41531,-1.14928,-0.310584,-0.347824,-0.598054,-0.288255,0.0568482,-0.487776,0.55846,1.99797,2.80656,2.78956,-0.0277213,0.513882,0.64227,0.482443,0.560834,2.76501,-0.0794841,1.37372,0.117445,0.207837,-0.275487,-0.644317,-0.17132,-0.646719,-0.819539
127,000002.SZ,000002,1,-0.258506,-0.091114,0.167392,0.1482107,0.0482747,-0.558609,-0.254932,-0.298373,0.212518,-0.562721,-0.677553,-0.415061,-0.581772,0.673336,-0.678648,-0.158344,-0.307122,-0.735087,-0.533723,-1.35316,-0.941178,-0.365048,-0.247187,-0.732326,-0.530171,-0.405372,-0.154638,0.0186472,-0.16168,-0.612728,-0.371076,-0.58605,-0.314,-3.14222,-0.470929,-1.2875,-0.473899,0.817229,0.729082,-0.80809,-0.700495,0.054723,0.190893,-0.0997473,-0.695395,-0.845779,-0.539196,-0.875872,0.0828712,0.0949573,0.1012,-0.447727,-0.127472,0.11246,0.233469,0.991398,0.565598,-0.693793,-0.142032,-0.0329117,-0.148618,-1.88191,-0.947258,-0.531017,-0.723021,-0.786926,0.904155,-0.873339,-0.600908,1.19387,-3.7746,0.81566,-0.657151,-0.536097,-0.470281,-0.55258,-0.746645,-1.27596,-1.02097,-1.23645,-0.53553,-0.927004,-1.17072,-1.41344,-0.831085,-1.5925,-1.22536
127,000003.SZ,000003,0,-0.258506,-0.03529200000000002,0.223214,-0.02746499999999999,-0.127401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,000004.SZ,000004,1,-0.258506,-0.2998426,-0.0413366,0.1236141,0.0236781,-0.679523,-0.376956,-0.60549,-0.817132,-1.73237,-1.25877,-0.146549,0.140419,0.38054,0.339516,-0.587456,0.241488,-0.944031,-1.19891,-0.909359,-1.47186,0.811589,0.433316,-1.37435,-1.83722,-1.01257,-1.01596,-0.943211,0.80783,0.319279,-0.617052,0.20287,-0.0551927,1.93099,0.518385,1.17166,0.662632,0.896845,1.39367,0.0802059,0.00319503,0.835106,0.863814,-0.261542,0.0807058,0.272613,0.484718,0.330345,0.811317,1.29675,1.0275,1.6436,2.55762,2.44582,2.41962,0.562132,-1.14213,0.869675,0.943771,1.2456,1.08339,0.378266,0.422898,0.879093,0.427009,0.72017,0.0295458,-0.458908,0.133839,-0.870236,1.09062,0.712548,1.56264,1.15821,0.724937,-0.220638,0.0427095,0.614187,-0.208855,1.83361,0.293152,-0.294479,-0.251892,-0.0972456,-0.186361,-0.0759171,-0.0971631
127,000005.SZ,000005,1,-0.258506,-0.3027342,-0.0442282,0.231794,0.131858,-0.916172,-0.309657,-0.620037,-0.585178,0.470785,0.155353,-0.697502,-0.938481,-1.9762,-1.39193,0.595091,-1.16435,-0.457554,-0.762795,-0.413673,-0.56917,2.12073,2.40489,-0.735093,0.426518,-0.471188,-0.515239,2.66931,-1.64747,0.634578,1.66489,-0.534711,-1.89897,-0.059597,0.119181,0.0892303,-0.441406,0.474415,0.149374,-0.277595,-0.805627,-0.0391919,0.319189,-0.290585,-0.217898,-0.264046,-0.177939,0.0635729,-0.743036,-0.21993,0.515497,0.537884,-0.0269352,0.38018,1.13171,1.39579,0.469284,0.690364,0.645839,0.774707,0.788364,0.256981,0.158954,0.442138,0.420619,0.015059,-0.000818914,2.97923,-0.296095,-0.151029,0.195076,0.056234,-0.0897676,-0.22113,0.0695081,-1.70826,0.551211,-1.11382,1.73972,-0.794928,2.54265,-0.393496,0.197203,0.582057,0.513266,0.403743,1.02808
127,000006.SZ,000006,1,-0.258506,-0.21153000000000002,0.046976,0.1864772,0.0865412,2.27019,2.75276,0.730957,0.232867,-2.15939,-1.91676,0.827274,1.73756,2.70082,0.631669,-0.00750394,0.760883,1.54037,1.05506,0.424149,0.426738,2.11305,2.08221,2.10117,2.0598,-0.194359,-0.211183,-1.67136,-1.64546,-0.899564,-1.2977,-0.553817,0.343298,-0.186995,-0.600456,-0.433285,0.634145,0.994044,0.606106,-0.304359,0.254686,0.464136,-0.127424,0.0751866,0.175883,0.268495,0.0418667,0.167389,0.212896,0.471363,0.334392,0.287829,0.378632,0.111583,-0.206632,-0.0528185,-0.708739,0.326365,0.58537,0.183274,0.529465,-0.0643971,0.329579,-0.376911,0.222168,-0.0627785,1.41084,-1.10506,-2.2214,1.63297,0.846398,2.0014,-2.33457,-1.35589,0.282783,0.624449,0.0830746,-0.376914,-1.19228,-0.973868,-0.675645,-0.622414,-1.14204,-1.89239,-0.957804,-2.13363,-1.39278
127,000007.SZ,000007,1,-0.258506,-0.091672,0.166834,-0.02746499999999999,-0.127401,-0.313865,-1.19947,-2.06057,-0.193585,2.01754,0.0200394,-0.565723,0.0382724,0.0493107,0.0925379,-0.724362,0.0658196,0.19487,-0.331523,-1.54814,-0.350868,1.42845,1.48849,-2.17659,-2.04328,-0.331793,-0.333452,-0.398591,1.73389,2.37456,2.78821,-0.463519,-0.789489,0.526307,-0.7262,-1.67797,0.276121,-0.224825,-0.847016,-1.28688,-0.312096,0.498481,0.892526,-0.62225,-0.612357,-0.364807,0.136669,-1.4359,-0.414889,-0.845261,-0.697312,0.227914,1.71602,1.95817,2.15663,0.413689,0.244592,0.426096,1.20138,0.629909,0.556456,0.558436,1.4575,0.845207,0.97793,-0.148086,0.00805296,-0.125079,1.64938,-0.528505,0.14971,-0.101765,-1.07119,-0.955632,-0.754671,-0.0601366,0.0116408,0.167402,-0.0569251,0.499765,0.0799009,-0.0802626,-0.0686551,-0.0265051,-0.0507942,-0.0206918,-0.0264826
127,000008.SZ,000008,1,-0.258506,-0.040381,0.218125,0.010898099999999994,-0.0890379,-0.44156,-0.257753,-1.25054,-2.24958,0.0316701,-0.547371,-0.491474,-0.175256,0.401952,-0.820688,0.0736221,-0.831042,-0.148639,-0.311877,0.0193987,-0.184904,0.457313,0.523702,-0.260457,-1.51256,-2.32513,-2.53792,-2.16265,-2.40144,1.58158,0.56297,2.60437,3.00475,1.77267,0.144128,-2.59369,-2.08396,-1.03868,-0.213567,-1.37073,-0.713327,0.153782,0.659842,-2.17016,-1.96105,-1.45475,-0.67959,-1.18172,0.395016,1.01354,0.600098,0.548379,1.8511,2.20844,2.1668,-0.465481,0.389345,0.105734,0.853585,1.02435,1.05172,-0.357687,0.638483,0.911998,0.986355,-0.499434,0.0271594,-0.421841,0.160243,-1.41514,-0.951165,-1.41104,-2.23664,-0.00397749,-3.1357,-0.202817,0.0392599,0.564579,-0.191986,1.68551,0.269474,-0.270694,-0.231546,-0.0893911,-0.171309,-0.0697853,-0.0893152
127,000009.SZ,000009,1,-0.258506,0.194971,0.453477,0.1356365,0.0357005,-0.0298801,-1.03014,-0.546905,0.215831,-0.359661,0.708068,-0.921451,-1.21588,2.13402,-0.694621,-0.0362605,0.20042,-0.588919,0.0200246,0.0906917,-0.0183361,-0.0360473,-0.201593,-0.884231,-1.118,0.285513,0.309458,0.543123,0.581598,0.0972755,0.611067,-0.123896,-0.586186,-0.880312,0.601564,-2.91761,-1.97255,0.700852,-0.194518,-2.52285,-2.32102,0.193221,0.500866,-2.29574,-2.457,-2.31543,-2.18676,-1.11726,-0.185965,-0.650528,-0.157031,-1.32436,-0.457844,-0.716038,0.604323,0.424239,0.435764,-2.27658,-1.09783,-0.511511,-0.157749,-2.10826,-1.5828,-0.803201,-0.288428,0.132298,-0.0133766,1.33559,-0.377645,-0.0654988,-2.06937,-2.09579,-1.49483,-1.88032,-2.37033,-1.00749,-1.42794,-1.52508,-1.94271,-1.64805,-0.88055,-1.37031,-0.374344,0.623389,-1.33532,0.436009,1.60401
127,000010.SZ,000010,1,-0.258506,-0.2041235,0.0543825,0.32149300000000003,0.221557,-0.952996,-0.627365,-1.8893,-1.0572,0.0442485,0.114575,-0.862062,0.0649313,0.554437,0.156996,-0.377426,0.111667,-0.00234678,-1.28669,0.828518,-1.04204,1.7276,1.22011,-0.00833992,-0.660166,-0.831119,0.0777014,-0.0851197,-1.72808,-0.638572,0.00883259,-0.98271,-0.604701,0.89291,-0.368729,-1.41468,0.279719,-0.464805,0.730864,-0.701544,0.256792,0.0604031,0.974583,-0.42157,-0.321108,0.0140424,0.56792,-0.446063,-0.00745426,-0.797653,-1.83537,1.43377,1.71543,2.03923,2.92965,0.133818,0.790964,0.782461,0.838799,0.423862,0.448017,0.886129,1.03317,0.685464,0.854355,-0.251236,0.0136623,-0.212204,0.526785,0.0979687,-0.47271,-0.381416,-2.34392,-1.68908,-0.548522,-0.102025,0.0197494,0.284007,-0.0965768,0.847881,0.135557,-0.13617,-0.116477,-0.0449674,-0.0861754,-0.0351049,-0.0449293
