month,stock,code,status,hs300_return,curr_return,excess_return_curr,next_return,excess_return_next,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
241,000001.SZ,000001,1,-0.036327,0.011260800000000001,0.0475878,-0.0531528,-0.0652638,0.0423265,0.0048614,0.624779,0.556375,2.87014,1.96911,-1.00593,-0.213229,-0.160745,-0.0962163,-0.0184691,-0.00850386,-0.355834,-0.325912,-0.133483,-0.122441,0.0,0.0,-0.675827,-0.976825,-0.000837828,0.00939876,1.96237,0.853427,0.0604614,0.0882726,0.0,0.0,-0.664373,0.0867939,-0.17363,0.57825,0.0502371,-1.16682,-0.0447767,0.0544638,0.357005,0.00356344,1.07499,0.32715,0.265342,0.358402,-1.72808,-1.17762,-1.35341,-0.94399,-1.18059,-0.796034,-0.960988,-0.634648,-0.304659,0.0876828,-0.171938,0.0442139,0.0453536,0.465174,-1.72722,-1.26272,-2.11649,-1.38127,-0.396626,0.242548,1.11684,-0.959033,-1.77499,-2.32183,-2.00794,0.422351,-0.921567,0.644939,0.532898,0.0128802,0.33073,-0.237696,-0.0958417,-0.337133,0.379672,0.0521394,-0.320453,0.877611,-0.360968,-0.282077
241,000002.SZ,000002,1,-0.036327,-0.178097,-0.14177,-0.0504274,-0.0625384,0.448175,0.728074,-0.98515,0.39278,-0.310748,1.96655,1.18057,1.28451,1.07361,-0.230393,-0.2181,-0.595002,-1.83943,0.225261,-1.40644,-0.97399,-0.416878,-0.242411,-1.28651,-0.675634,-0.511323,-0.229046,-1.87485,0.748814,-0.581271,0.417058,-0.339626,0.0732791,-2.87912,-0.0776515,1.53337,1.04568,0.746475,-0.78036,0.0992296,-0.286111,0.272779,0.0795409,0.642296,0.102038,-0.0818415,-0.0397696,-0.532159,-0.809412,-0.609938,-1.06217,-0.706459,-0.814132,-1.19829,-1.50364,-1.17779,0.714629,-0.502608,-0.329826,-0.247358,-0.506409,0.582519,1.2475,1.81606,1.87403,-0.332524,-0.077325,-0.166899,-0.664445,2.59321,1.34106,1.4914,-0.757908,0.110695,1.75462,-0.944673,0.506378,1.36248,0.188454,-2.4263,0.426873,0.752299,0.329378,-0.0354604,0.617193,-0.0268617,-0.00827847
241,000003.SZ,000003,0,-0.036327,-0.004612199999999997,0.0317148,0.010266250000000001,-0.00184475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,000004.SZ,000004,1,-0.036327,-0.0974915,-0.0611645,0.0780381,0.0659271,-0.24978,-0.367647,-0.866578,-0.43588,-0.236572,0.0880078,-0.444529,0.285214,2.20594,0.287553,0.102745,0.260414,-0.571015,-0.193155,-0.196108,-0.453842,1.85432,1.39379,-0.718059,-0.890026,1.47508,0.273062,0.651753,1.30112,-0.207292,-0.286436,0.853576,-0.876492,1.88778,-0.427155,0.968738,0.181318,-0.228017,0.711679,0.487877,0.420459,-1.22233,0.512655,0.358787,0.521322,0.565278,0.329482,2.2624,0.965027,-0.535671,-0.236852,2.37269,1.89503,-0.0976846,0.227046,-0.374247,0.137294,1.59943,1.19664,0.629951,0.663622,1.75499,0.888114,-0.467314,-0.761895,-0.344571,0.0672705,-0.219556,0.683426,0.191209,1.39199,1.37972,2.7615,2.61598,0.915078,-0.910047,-0.579301,-0.820978,0.06207,0.589702,-0.528264,0.110423,0.285797,0.32012,-0.0814586,0.318732,0.235855
241,000005.SZ,000005,1,-0.036327,-0.0620535,-0.0257265,-0.0368252,-0.0489362,-0.574975,-1.22092,-0.836454,-0.836575,0.00366881,-1.28495,-1.07908,0.130953,2.49688,0.132027,0.0471744,0.119566,0.277182,-0.197246,0.0113474,-0.193985,0.78683,0.629267,0.503028,-1.33606,-0.413296,-0.454088,-0.102394,-1.18717,0.250826,1.26238,-0.864127,-0.504857,0.859263,-1.42187,0.144646,0.204826,-0.105315,0.0707496,0.0712356,0.172617,0.120925,0.248447,-0.236677,0.0644716,0.244754,0.293785,0.778348,0.790462,0.759646,0.901265,0.548441,0.233346,0.415191,0.536487,1.06629,-1.0794,0.595847,0.684844,0.779025,0.86629,-0.118943,-0.027737,0.204991,0.426577,-0.158206,0.0308865,-0.100807,0.0679566,-0.608766,0.338874,0.00422826,0.263739,0.920149,-0.162114,-1.18856,-1.55692,-0.731986,-1.4079,-1.00051,-1.23713,-0.755661,-2.6273,-1.7678,-1.93464,-1.69373,-1.81667
241,000006.SZ,000006,1,-0.036327,-0.030819109999999997,0.00550789,-0.0123966,-0.0245076,2.00951,2.20192,0.208403,-0.860265,-2.35841,0.860117,2.06135,1.89479,-2.12261,1.70919,-2.45853,2.08688,2.25468,1.29972,1.77092,1.4632,-0.748152,-0.105987,2.47532,2.5063,-0.0248127,-0.0819202,0.0632889,0.327188,1.41964,0.830722,-0.396891,0.032576,0.0164228,0.0543839,-0.0570479,1.17352,0.914793,-0.153013,-0.128246,1.12881,1.24198,0.215939,-0.281177,0.294646,1.04957,1.26601,0.131683,0.330452,0.330169,0.307617,-0.0569864,0.30239,1.03743,0.79515,0.17658,-0.29971,0.094267,-0.459873,-0.501267,-0.157608,0.217242,-0.796345,-0.834,-0.187864,-0.0058626,0.00114455,-0.00373558,-0.467498,-2.34758,1.75374,1.72023,-0.545565,0.21929,-0.150794,0.704547,2.27907,0.549891,1.56385,2.48051,0.994345,1.46382,0.944054,0.0702234,1.06078,0.0521879,0.0567421
241,000007.SZ,000007,1,-0.036327,-0.034168859999999995,0.00215814,-0.0252667,-0.0373777,-1.74268,-1.48417,-2.31374,-1.48137,-0.193138,-0.0987696,-1.30609,0.125972,-0.595574,0.127005,0.0453801,-2.64282,-0.42044,-1.20442,-1.81427,-0.605325,2.80346,2.32741,-0.858469,-2.03054,-0.161142,-0.428653,0.291538,-1.77,2.434,2.28054,1.11445,1.12647,0.819503,0.0422851,-0.129224,0.313588,-0.113902,-0.674046,-0.0854738,0.602456,0.782788,0.426515,-0.187131,0.106653,0.609878,0.843642,0.515762,-1.11519,-1.20693,-0.606432,1.04444,0.748005,1.36699,1.02943,-0.886438,1.26859,0.592621,0.245431,0.211044,0.36783,0.897592,0.560632,0.716601,1.4246,-0.152188,0.0297117,2.98217,-0.778935,-0.050733,0.664333,0.540302,0.0884627,0.747755,-0.221714,-2.72595,-2.46327,-1.05508,0.0274148,-1.84827,-1.04898,0.0487713,0.126229,0.141389,-0.0359783,0.140776,0.104172
241,000008.SZ,000008,1,-0.036327,-0.160817,-0.12449,-0.0191455,-0.0312565,0.820407,-0.0424548,0.0654948,-0.813114,-0.216262,-0.530869,-0.823674,-0.300922,-0.803866,-0.369811,-0.0808931,-0.328265,-1.03441,0.325024,-1.03784,0.677041,1.59776,1.16825,-0.408413,0.940897,-1.27139,-0.923431,-1.77403,-0.457744,0.781195,1.05384,-0.576623,-0.108306,-1.49217,-0.471506,1.11325,1.88305,1.72015,1.13183,0.266865,0.521112,0.417499,0.419623,-0.00507725,0.352818,0.524682,0.600183,1.51859,1.42267,1.45571,0.972179,1.08945,1.71742,1.63838,1.20132,1.31471,-0.658459,0.777634,0.81572,0.88032,0.900563,0.135472,0.324104,0.667647,0.929238,0.271286,-0.0529631,0.17286,-0.339449,-1.71253,2.09262,2.05559,3.37877,2.73576,0.632972,0.113607,0.0596698,-1.04667,-0.858759,0.61637,-0.233086,2.23577,0.949254,-0.248949,0.0468458,-0.323642,-0.537636
241,000009.SZ,000009,1,-0.036327,-0.0490933,-0.0127663,-0.012147499999999999,-0.0242585,-0.64139,-0.856747,-0.589666,0.263634,2.4972,-0.292753,-0.448096,-0.260627,0.920691,-0.274708,0.762969,-0.0688181,0.852441,-0.774892,-0.296169,-0.640609,0.456662,0.423165,0.0712003,-0.458318,-0.496103,-0.753436,0.387462,0.342772,-0.983685,-1.48299,-0.233192,-0.230188,-0.865922,0.499972,-0.194397,0.0436024,0.875843,0.746384,-0.101157,0.228636,0.580151,0.0502296,0.0715235,0.0446293,0.319403,0.422992,0.619142,0.375542,0.535658,0.558275,0.395555,-0.0350776,0.255414,0.0523947,0.73362,-0.38662,0.293129,0.310458,0.317987,0.0500268,0.688533,0.791767,1.12844,0.763169,0.157776,-0.0308026,0.100533,0.0919758,0.577437,-0.306865,-0.0535887,-0.0784557,-0.0977848,0.276701,-0.887639,-1.39006,-0.971668,-0.0284214,-1.69728,-1.21762,0.489136,0.453327,0.167055,0.0372993,0.14982,0.214771
241,000010.SZ,000010,1,-0.036327,-0.284158,-0.247831,0.085976,0.073865,-3.21345,-3.2097,-0.143099,-0.953653,-0.625511,-2.17708,-0.812475,0.174175,-1.40013,0.175603,0.19037,0.15903,-2.61032,-2.87056,-1.74347,-2.75193,-0.585416,-1.11475,-2.12132,-2.44128,-1.05806,-1.01664,0.920946,0.0257323,-0.348413,0.405726,-0.471608,-0.335938,1.13497,0.357056,2.78303,1.72632,1.30457,0.495697,2.02309,1.63413,1.34567,0.230368,1.46338,2.08907,2.30787,2.1716,-0.685078,-1.21624,-1.06657,-0.259523,-0.392211,-0.558394,-0.696692,-0.323848,1.55704,0.6888,0.278599,0.378153,-0.0293799,0.375998,-0.431512,-0.428625,-1.18686,-0.752898,-0.210423,0.0410807,-0.134079,-0.710123,0.364868,2.24284,2.10779,1.80374,1.6151,2.38995,-0.441787,-3.85669,-3.11582,0.0379049,-3.7458,-3.23508,-2.53736,-2.64059,-1.79202,-0.0497452,-1.8107,-1.87013
241,000011.SZ,000011,1,-0.036327,-0.1190432,-0.0827162,-0.0256275,-0.0377385,-0.0725649,-0.00520764,-1.04787,-0.694152,-0.414276,-0.643858,0.399135,-2.6886,-1.7957,-1.60449,0.0093821,-1.48281,0.462896,0.703107,0.588079,1.17514,-1.26084,-0.605566,0.463754,0.508341,0.814718,0.857362,-0.215603,-0.21305,1.70071,2.30843,1.38214,0.0028014,0.156932,-0.176471,0.855211,0.191471,0.756614,-0.054411,0.840019,-0.176366,-0.122859,-1.97065,0.155002,0.279314,0.164015,-0.230598,0.395994,0.0322866,0.350722,-0.343402,0.442791,0.328312,0.447404,-0.178044,-0.828027,0.043201,-0.237278,-0.576496,-0.843003,-2.05106,0.902662,1.02571,1.17768,0.0528751,-0.0314642,0.00614274,-0.0200486,-0.118306,-0.397833,0.722406,0.392594,-0.773532,0.729974,0.493824,0.025768,0.0559193,0.0574035,0.00566786,0.210555,0.0472055,0.0100832,0.0260973,0.0292314,-0.00743832,0.0291047,0.0215369
241,000012.SZ,000012,1,-0.036327,-0.0655394,-0.0292124,-0.0320469,-0.0441579,0.286986,0.322259,0.211978,0.358287,1.76649,1.7017,0.570605,-1.35764,-0.488163,-1.21249,-0.219653,-1.05403,-0.107133,-0.223843,-0.511905,-0.464255,-0.423497,-0.413258,-0.241954,-0.244651,0.133102,0.0304537,0.0375842,0.895268,-0.315699,-1.31984,-0.340264,-0.745629,-1.21895,0.809876,-0.25813,0.724543,0.195991,0.737472,-0.114999,0.72141,-0.213967,0.524446,-0.205951,0.105447,0.373027,0.451997,1.28824,1.51068,1.05687,1.47648,0.854704,0.929527,0.592268,0.942951,0.799943,-0.754743,0.709254,0.748076,0.276387,0.599179,0.985335,1.06694,-0.0712591,1.0755,-1.339,-0.0441834,-0.922608,0.380346,-1.05819,1.41687,0.639796,-0.694293,-0.615493,-0.326659,0.30364,-0.00187551,-0.875844,-1.3396,1.07529,-0.328389,0.70903,0.430193,-0.160959,0.557731,-0.173409,-0.113375
241,000013.SZ,000013,0,-0.036327,-0.004612199999999997,0.0317148,0.010266250000000001,-0.00184475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,000014.SZ,000014,1,-0.036327,-0.16022,-0.123893,0.201099,0.188988,-1.24051,-1.10994,-0.93874,-0.66433,0.861413,2.78089,-0.895504,0.266642,-1.14214,0.268828,0.793241,0.243456,-0.107444,-0.381424,0.274714,0.0511624,-0.471279,-0.654752,-0.387621,-0.550726,0.150938,0.320214,2.25768,2.78822,0.929159,1.19032,-0.413358,-0.342825,1.75221,0.0405304,1.09307,-0.0544832,0.727537,0.00929177,0.995818,-0.807668,-1.75936,-0.553596,0.119909,-0.611594,-1.27507,-1.6311,-0.325304,-0.782599,-0.668582,0.0274034,-0.240557,-0.885891,-1.1844,-0.124319,-0.654144,0.319777,-0.942967,-0.737515,-0.58974,0.177491,-2.55777,-2.36451,-2.28615,-0.919286,3.04638,0.0628899,-0.205259,-2.24426,1.44487,0.358605,1.07826,-1.00409,0.772786,0.791123,0.263815,0.572507,0.587702,0.058028,2.15568,0.483293,0.103233,0.267186,0.299274,-0.0761541,0.297976,0.220497
241,000015.SZ,000015,0,-0.036327,-0.004612199999999997,0.0317148,0.010266250000000001,-0.00184475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,000016.SZ,000016,1,-0.036327,-0.171994,-0.135667,-0.0636169,-0.0757279,2.44843,-1.50076,0.552737,1.84445,1.58071,-2.40762,-1.59702,2.22954,1.30275,2.39352,-0.0389773,-0.427753,-1.79576,2.40874,-0.924447,2.54083,-1.15968,-1.12031,-0.800257,-0.903086,1.68738,2.15385,-1.85116,-0.55146,-1.26203,0.621973,-0.443314,-0.574068,-0.750287,-1.03668,0.819096,0.352889,-1.08533,-2.1911,0.396037,0.748173,-0.169453,-0.402596,0.187687,0.287629,0.238287,0.148254,0.109745,-0.408904,-0.966774,-0.622961,0.373741,-0.253063,-0.563292,-0.289182,1.07655,-0.76576,0.0781147,0.188538,-0.0309777,0.202461,-0.467454,-0.150605,-0.797319,-0.133064,0.130716,-0.0255196,0.0832904,-0.0179055,2.56706,1.65088,1.82968,0.36927,0.359041,0.842541,-0.107051,-0.232313,-0.238479,-0.0235467,-0.874738,-0.196112,-0.04189,-0.108419,-0.12144,0.030902,-0.120913,-0.0894736
241,000017.SZ,000017,1,-0.036327,-0.0784861,-0.0421591,0.0530678,0.0409568,-0.7705,-0.425633,-1.76618,-0.817122,0.0410348,-0.187467,-0.61355,-0.231228,-0.523451,-0.779447,0.0311857,-0.0156506,0.337788,0.312138,-0.310128,-0.51644,-1.31575,-1.36812,-0.288799,-0.534338,2.63374,3.25426,1.17904,-0.621426,-3.06146,0.587219,-0.391115,-1.13002,0.570729,0.203036,0.378916,0.580092,0.595109,0.881869,0.235053,-0.14785,-0.20784,0.465811,-0.0730725,0.289129,0.270779,0.229886,1.45297,1.29271,1.35255,1.1702,1.53296,0.792513,1.11968,1.08364,1.21397,-0.279228,1.15686,0.795908,0.971948,1.09419,0.95354,0.397648,0.752275,1.36022,-0.104586,0.0204182,-0.0666407,-0.45737,-0.384422,0.218986,-0.0395121,-0.112371,1.7773,0.297328,0.0856518,0.185874,0.190807,0.0188397,0.699878,0.156909,0.0335162,0.0867463,0.0971641,-0.0247247,0.0967429,0.0715879
241,000018.SZ,000018,1,-0.036327,-0.022615499999999997,0.0137115,0.01359958,0.00148858,-0.123481,0.0691601,-1.21573,0.0203173,-0.790405,-2.39172,0.328211,1.86015,-1.25742,1.27756,-0.0200564,1.10148,0.552266,1.6515,0.986937,-0.0446206,0.244551,0.181959,0.116646,-0.173649,-0.516024,-0.135641,1.3513,-0.745949,-1.71048,-1.61243,-0.338449,-0.287338,-0.38905,-0.588592,-0.106946,-0.879887,0.157844,0.922977,0.161373,-0.819353,0.0121744,0.46243,-0.189168,0.0022818,-0.149242,-0.124884,0.0935242,-0.557041,0.261944,0.337008,0.672348,0.24985,0.482909,0.0563659,0.957689,-0.733569,0.179366,0.0495153,0.401574,0.285478,0.0601281,-0.0970143,0.525793,0.396121,0.0672621,-0.0131316,0.0428586,-0.399418,0.645023,-0.368266,-0.0254832,-0.380484,1.5742,0.053574,-1.63308,-0.79936,-1.09264,-0.488621,-0.802361,1.49129,-3.55304,-2.59236,-2.05,-1.14611,-2.06756,-1.45669
241,000019.SZ,000019,1,-0.036327,-0.194736,-0.158409,-0.023270299999999997,-0.0353813,-1.4196,-1.17705,-0.63704,-0.826157,-0.0478283,-0.908376,-0.33486,0.107312,-0.600312,0.108192,0.0386582,0.0979814,-2.02584,-2.43909,-2.57892,-2.83034,-0.929206,-1.14595,-2.85599,-2.83813,-1.72668,-1.28168,0.0352437,0.183867,0.445356,0.263029,1.79047,1.93312,0.659602,-0.769653,2.21397,0.902664,0.210466,0.15705,2.09671,2.25796,1.59349,0.2806,1.61827,2.01099,2.17491,2.18288,-1.9776,-0.00774833,-0.0547547,-1.14171,-1.81152,0.180797,0.944267,0.194604,0.582367,-0.85926,-1.21062,-1.29496,-1.36751,-1.15916,0.0602542,0.0708535,0.128114,0.282643,-0.129645,0.0253107,-0.0826085,-0.241104,0.484896,2.05231,2.10687,1.76444,2.24716,1.94549,-0.804071,-1.54683,-1.5547,0.023354,-1.21073,-2.71354,0.00713125,-2.53289,-1.80304,-0.030649,-1.79404,-1.81656
241,000020.SZ,000020,1,-0.036327,-0.0646122,-0.0282852,0.0407627,0.0286517,-0.59049,-0.2725,-0.997589,-0.265243,-0.0389501,-0.108313,-0.517759,-0.122022,-0.779172,-0.411672,0.0437305,-0.238857,-0.382662,-0.965862,-0.620718,-0.948231,-0.846394,-1.05471,-0.35335,-0.491396,1.76094,2.57063,0.258324,2.22654,-0.349172,0.670004,-0.952044,-1.13673,0.796947,-0.417745,0.79476,-0.467269,1.23442,1.05021,0.623878,0.216914,2.11591,1.63081,0.163313,1.00792,1.05614,1.05618,0.250868,-0.0199418,-0.693874,-0.346556,0.646449,-0.8992,-1.12243,0.084337,0.122003,-1.29556,0.790863,0.210868,0.625878,0.952795,-0.404558,-1.90201,-1.17403,-0.453918,-0.146656,0.0286317,-0.0934476,-0.149713,-0.60944,0.845093,0.391261,0.111953,0.871501,0.521498,4.09201,3.89825,2.89092,2.31155,4.64249,3.17765,-1.04468,0.351738,0.498192,0.625994,0.42441,2.13322
