month,stock,code,status,hs300_return,curr_return,excess_return_curr,next_return,excess_return_next,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
140,000001.SZ,000001,1,0.07051,-0.0008506999999999959,-0.0713607,0.005575000000000002,-0.012653,-1.5043,-1.41854,-0.728222,0.176125,-1.52204,-4.49667,-2.13626,0.10417,0.244026,0.230155,-0.54293,0.346308,1.18438,-0.568943,0.368466,0.23236,0.0,0.0,0.410107,-1.52253,0.0982012,0.04776,-0.429286,-2.85306,-0.0631057,-0.246268,0.0,0.0,0.0462868,-0.907331,-0.475426,-0.478744,-0.378421,-0.851297,-0.0367513,0.160447,-0.0825641,0.0558074,-0.0516197,0.0405069,0.0747885,0.0658451,-0.260988,0.190278,-0.425773,-0.696434,-1.44532,-0.610699,-0.805815,-0.924798,-1.97939,-0.975364,0.393418,0.378304,0.350109,0.323126,0.170685,0.23841,0.0534519,-0.179804,-0.421307,-0.509656,-0.716198,-0.437596,2.23892,-3.5145,1.39522,-0.422328,0.596192,0.0435316,-0.665339,0.0631268,2.34688,2.29885,1.35202,0.609745,-0.397683,-0.239236,-0.0289283,-0.507546,-0.155922,-0.196567
140,000002.SZ,000002,1,0.07051,-0.0150584,-0.0855684,-0.052842999999999994,-0.071071,0.0250936,0.176048,0.102224,0.659038,0.504427,0.918863,-0.561217,0.481255,0.196746,-0.0306907,-0.38124,0.0800795,-0.588432,-0.380283,-0.964126,-0.683783,-0.902443,-0.537403,-0.747231,-0.67101,-0.118754,0.168476,0.154017,0.20424,-0.147456,-0.340767,-0.40056,-0.124148,-3.0562,-0.0348699,0.967892,0.620509,0.952499,1.15707,0.470219,0.183461,0.502643,0.465526,0.51105,0.607032,0.502605,0.490216,1.19288,0.672075,0.682631,1.14828,1.13448,0.254219,0.511703,0.895769,1.23108,0.454407,-0.121725,-0.154954,-0.0447289,-0.00706451,-0.160408,-0.31208,-0.10928,0.00263822,0.306063,-0.179425,1.20458,-0.638716,1.53074,-0.783931,2.91267,2.0742,0.654502,0.819653,0.29166,-0.333644,-1.23288,-0.232035,-1.42107,-0.894162,0.39458,-0.114775,-0.544466,-0.200425,-0.523631,-0.40526
140,000003.SZ,000003,0,0.07051,0.020985200000000002,-0.0495248,0.025417890000000002,0.00718989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,000004.SZ,000004,0,0.07051,0.10912440000000001,0.0386144,0.025417890000000002,0.00718989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,000005.SZ,000005,1,0.07051,0.511308,0.440798,-0.11022400000000002,-0.128452,-0.738015,-0.765617,-0.709375,-0.622064,-1.03448,-1.4496,-0.658519,-0.219675,-2.30003,-2.56382,-1.13133,-2.49027,-0.962499,-0.788654,-0.752538,-0.565616,-0.34454,-0.583021,-2.69723,-2.69901,-0.618526,-0.679338,-0.106395,2.08966,0.833452,1.66124,-0.968077,-1.85752,0.0647914,0.0946777,-2.37306,-2.05749,-0.664136,0.141432,-2.20015,-1.68276,-1.36486,-0.460217,-2.28732,-2.02073,-2.33406,-1.8755,0.822977,-0.192739,0.740307,1.13501,-0.321138,-0.715733,-0.0302677,0.529094,1.36437,0.289153,-0.690087,-0.301467,-0.128846,0.156659,-1.80829,-1.30945,-1.26716,-1.24551,-0.0241071,-0.00108539,3.32904,-0.6102,-2.54446,-0.150378,-1.89059,-2.50646,-0.442999,-3.00637,0.0082293,0.01922,0.026981,0.00188714,0.0773568,0.0139686,0.00762364,0.00298076,0.00111406,0.00514621,0.00166827,0.000666466
140,000006.SZ,000006,1,0.07051,0.1339843,0.0634743,-0.125727,-0.143955,-0.0606875,-0.564551,0.63678,-0.186527,1.68711,0.794623,0.876711,-0.791906,-1.31267,-0.437826,-0.00790553,-0.29009,-0.0650993,-0.291501,0.0967513,-0.246604,1.31943,1.59535,0.405805,-0.751325,-0.379697,-0.511799,0.262466,1.16934,-1.09307,-1.30669,0.156963,1.70378,-0.0692213,-0.218713,-0.00465549,0.234005,1.0074,0.249764,0.436365,0.676173,1.09021,0.702471,0.225864,0.412114,0.60042,0.794045,-0.783567,0.502443,0.348404,0.176396,-0.265808,-0.0339519,0.185494,0.143801,-0.141892,-0.708198,0.640517,0.742623,0.846112,0.63259,0.134386,0.398699,0.514032,-0.194494,0.157033,-4.24731,-0.897415,0.0697479,0.55531,-2.10699,-1.8831,0.772456,-0.472187,0.0085478,0.92321,1.63903,0.924644,1.79685,0.609887,0.324694,0.47234,0.396771,0.359968,0.621133,0.339342,0.314532
140,000007.SZ,000007,1,0.07051,0.1483644,0.0778544,-0.07458210000000001,-0.0928101,0.633488,-1.68099,-1.77169,-0.262357,-1.76155,-0.11495,-0.640843,0.0118681,-0.944882,0.0770332,0.0854365,0.0523507,0.284036,-2.31767,2.20322,0.647843,1.63945,1.71727,-2.16998,-2.06335,-0.286752,-0.130525,-0.626561,-0.0320829,2.38412,2.64941,-0.533859,-0.764616,0.752013,-0.465071,0.753243,0.94369,-0.863635,0.270459,1.07643,1.16219,0.536356,0.966721,0.203662,0.709235,0.990249,1.01198,0.736267,0.565344,0.459243,-0.241927,1.48876,1.64236,1.38486,1.19671,0.569663,0.53604,1.20972,1.28121,0.488966,0.669535,0.974617,1.23837,-0.261731,0.0273873,-0.281381,-0.0126688,0.0922167,0.530364,0.00130808,-0.336085,-0.314712,0.0353271,0.16379,0.410936,0.0960531,0.224338,0.314924,0.0220268,0.902916,0.163043,0.0889838,0.0347917,0.0130034,0.060067,0.0194722,0.00777905
140,000008.SZ,000008,1,0.07051,0.127937,0.057427,0.211891,0.193663,-0.0628217,0.20359,-0.904671,-2.421,-0.671735,-0.591177,-0.502329,-0.557885,-0.195855,-1.6077,0.232635,-1.7442,-0.0855765,-0.0578478,-0.0533574,0.147436,0.751875,0.713772,-0.233859,0.540821,-2.56181,-2.72303,2.2146,1.96034,1.42788,0.363042,2.81005,3.09454,2.04766,0.910231,0.702597,0.605937,-0.491541,0.186462,1.00751,1.1427,0.915293,1.46006,0.442136,0.906844,1.05904,1.20053,0.460406,1.83588,1.00397,1.69926,1.18937,1.44692,1.15578,2.08576,-0.0656311,0.0775385,1.13694,1.13746,1.1636,1.56762,-0.284884,-0.264029,-0.721157,0.521024,-0.766172,-0.0344958,0.251097,-0.162336,0.338693,0.359931,0.650932,1.19979,-0.153172,0.736269,0.261543,0.610851,0.857509,0.0599769,2.45855,0.44395,0.242294,0.0947343,0.0354071,0.163557,0.053021,0.0211816
140,000009.SZ,000009,1,0.07051,0.0320787,-0.0384313,-0.125052,-0.14328,-0.226355,0.520998,-0.75425,0.241633,0.628606,0.692006,-0.368236,-0.0353316,0.0905239,0.288677,2.07214,0.0448476,0.281776,0.235217,0.39777,0.202393,-0.321931,-0.191662,-0.288893,0.266338,0.491288,0.493811,0.0480301,0.392403,0.197473,-0.882796,0.40699,-0.0754582,-0.898989,0.265342,1.15152,0.293309,0.321446,-0.526541,0.629194,0.576195,0.275499,-0.206115,0.696231,0.825543,0.685922,0.530319,-0.654879,-0.0918127,0.266922,-0.281312,0.345835,0.0794254,0.118109,-0.427549,0.180632,0.234479,0.378548,0.285576,0.357453,-0.103498,0.766581,0.734813,1.05056,0.366236,-1.54615,-0.220806,2.43498,-0.166816,0.70477,1.11989,1.335,-0.983948,-0.0387768,1.19244,-0.455349,0.697157,0.207555,1.77254,1.52815,0.994862,2.20467,1.24653,1.56139,0.608027,1.5836,0.138052
140,000010.SZ,000010,1,0.07051,0.1205907,0.0500807,0.08461070000000001,0.0663827,-0.0436619,-0.543064,-1.66733,-0.967793,-0.263023,-0.462565,-0.762618,-0.672147,1.44958,0.0743728,0.113826,-0.121236,-0.7285,1.30078,0.810283,0.848711,1.35047,1.14977,-0.188669,-1.03486,-0.0564882,0.0236577,-0.178692,-0.391248,-0.78213,0.13773,-0.836628,-0.474124,1.0053,0.00077206,0.227849,-0.367923,0.390233,0.50123,0.751948,0.665937,1.09093,1.24104,1.28065,1.07786,0.939174,1.01885,-0.787641,-0.365704,0.246098,0.344939,0.0243967,0.529029,1.15726,1.7946,0.133177,0.669238,-0.319308,0.139158,0.341589,0.755969,-1.14806,-0.612882,-0.437467,0.248031,0.878407,-0.419066,0.122859,-0.940343,0.316475,-0.257851,-0.0545209,-0.605473,0.199222,0.630493,0.12797,0.298883,0.41957,0.0293461,1.20294,0.21722,0.118552,0.0463525,0.0173243,0.0800266,0.0259426,0.0103639
