,月份,股票代码,股票名称
0,2005-04,600674,川投能源
0,2005-04,600854,春兰股份
0,2005-04,990018,上港集箱
0,2005-04,780,平庄能源
0,2005-04,16,康佳集团
0,2005-04,429,粤高速
0,2005-04,507,珠海港
0,2005-04,511,烯碳新材
0,2005-04,533,顺钠股份
0,2005-04,543,皖能电力
0,2005-04,571,大洲控股
0,2005-04,573,粤宏远
0,2005-04,666,经纬纺机
0,2005-04,727,冠捷科技
0,2005-04,735,罗牛山
0,2005-04,737,南风化工
0,2005-04,886,海南高速
0,2005-04,916,华北高速
0,2005-04,949,新乡化纤
0,2005-04,600007,中国国贸
0,2005-04,600068,葛洲坝
0,2005-04,600103,青山纸业
0,2005-04,600190,锦州港
0,2005-04,600608,上海科技
0,2005-04,600705,中航产融
0,2005-04,600707,彩虹股份
0,2005-04,600726,华电能源
0,2005-04,600744,华银电力
0,2005-04,600790,轻纺城
0,2005-04,600805,悦达投资
0,2005-04,600866,星湖科技
0,2005-04,600002,齐鲁石化
0,2005-04,406,石油大明
0,2005-04,866,扬子石化
0,2005-04,956,中原油气
0,2005-04,96,广聚能源
0,2005-04,420,吉林化纤
0,2005-04,498,山东路桥
0,2005-04,612,焦作万方
0,2005-04,763,锦州石化
0,2005-04,817,辽河油田
0,2005-04,823,超声电子
0,2005-04,831,五矿稀土
0,2005-04,600074,保千里
0,2005-04,600135,乐凯胶片
0,2005-04,600630,龙头股份
0,2005-04,600638,新黄浦
0,2005-04,29,深房集团
0,2005-04,532,华金资本
0,2005-04,562,宏源证券
0,2005-04,921,海信家电
0,2005-04,600072,中船科技
0,2005-04,600228,返利科技
0,2005-04,600271,航天信息
0,2005-04,600489,中金黄金
0,2005-04,600641,万业企业
0,2005-04,600710,苏美达
0,2005-04,600748,上实发展
0,2005-04,600757,长江传媒
0,2005-04,600761,安徽合力
0,2005-04,600838,上海九百
0,2005-04,1,平安银行
0,2005-04,2,万科
0,2005-04,63,中兴通讯
0,2005-04,69,华侨城
0,2005-04,157,中联重科
0,2005-04,425,徐工机械
0,2005-04,568,泸州老窖
0,2005-04,625,长安汽车
0,2005-04,651,格力电器
0,2005-04,858,五粮液
0,2005-04,600000,浦发银行
0,2005-04,600009,上海机场
0,2005-04,600010,包钢股份
0,2005-04,600015,华夏银行
0,2005-04,600016,民生银行
0,2005-04,600019,宝钢股份
0,2005-04,600028,中国石化
0,2005-04,600029,南方航空
0,2005-04,600030,中信证券
0,2005-04,600031,三一重工
0,2005-04,600036,招商银行
0,2005-04,600050,中国联通
0,2005-04,600085,同仁堂
0,2005-04,600104,上汽集团
0,2005-04,600196,复星医药
0,2005-04,600309,万华化学
0,2005-04,600362,江西铜业
0,2005-04,600519,贵州茅台
0,2005-04,600585,海螺水泥
0,2005-04,600660,福耀玻璃
0,2005-04,600690,海尔智家
0,2005-04,600741,华域汽车
0,2005-04,600795,国电电力
0,2005-04,600900,长江电力
0,2005-05,600177,雅戈尔
0,2005-05,709,河钢股份
0,2005-05,600170,上海建工
0,2005-05,600188,兖州煤业
0,2005-05,600221,海航控股
0,2005-05,600583,海油工程
0,2005-05,630,铜陵有色
0,2005-05,600100,同方股份
0,2005-05,600153,建发股份
0,2005-05,402,金融街
0,2005-05,792,盐湖股份
0,2005-05,600739,辽宁成大
0,2005-05,60,中金岭南
0,2005-05,600649,城投控股
0,2005-05,9,中国宝安
0,2005-05,600256,广汇能源
0,2005-05,39,中集集团
0,2005-05,61,农产品
0,2005-05,778,新兴铸管
0,2005-05,800,一汽解放
0,2005-05,600839,四川长虹
0,2005-05,729,燕京啤酒
0,2005-05,600600,青岛啤酒
0,2005-05,600642,申能股份
0,2005-05,937,冀中能源
0,2005-05,983,山西焦煤
0,2005-05,24,招商地产
0,2005-05,839,中信国安
0,2005-05,878,云南铜业
0,2005-05,960,锡业股份
0,2005-05,600108,亚盛集团
0,2005-05,600348,华阳股份
0,2005-05,401,冀东水泥
0,2005-05,600058,五矿发展
0,2005-05,600832,明珠集团
0,2005-05,12,南玻集团
0,2005-05,758,中色股份
0,2005-05,600096,云天化
0,2005-05,600123,兰花科创
0,2005-05,600895,张江高科
0,2005-05,528,柳工
0,2005-05,933,神火煤电
0,2005-05,600266,北京城建
0,2005-05,600598,北大荒
0,2005-05,600694,大商股份
0,2005-05,600811,东方集团
0,2005-05,600997,开滦股份
