,开始日期_BegDt,结束日期_EndDt,成分股代码_CompoStkCd,成分股名称_CompoStkNm
36,2005-04,2017-12,"000009, 600256","中国宝安, 广汇能源"
37,2005-04,2018-06,600649,城投控股
38,2005-04,2018-12,000060,中金岭南
39,2005-04,2019-06,"000792, 600739","盐湖股份, 辽宁成大"
40,2005-04,2019-12,000402,金融街
41,2005-04,2020-06,"000630, 600100, 600153","铜陵有色, 同方股份, 建发股份"
42,2005-04,2020-12,"000709, 600170, 600188, 600221, 600583","河钢股份, 上海建工, 兖州煤业, 海航控股, 海油工程"
43,2005-04,2021-06,600177,雅戈尔
44,2005-07,2006-01,"000618, 600961","吉林化工, 株冶集团"
45,2005-07,2006-07,"000975, 600200, 600380","银泰黄金, 江苏吴中, 健康元"
46,2005-07,2007-01,"000607, 600740","华媒控股, 山西焦化"
47,2005-07,2007-07,"000099, 600267","中信海直, 海正药业"
48,2005-07,2008-03,600786,东方锅炉
49,2005-07,2013-12,"000059, 600125","华锦股份, 铁龙物流"
50,2006-01,2006-07,000599,青岛双星
51,2006-01,2006-11,600339,中油工程
52,2006-01,2007-01,"000707, 600399","双环科技, 抚顺特钢"
53,2006-01,2008-01,600062,华润双鹤
54,2006-01,2011-01,600027,华电国际
55,2006-01,2011-07,000652,泰达股份
56,2006-01,2013-01,600418,江淮汽车
57,2006-01,2013-07,600331,宏达股份
58,2006-01,2013-12,"000422, 000969, 600550","湖北宜化, 安泰科技, 保变电气"
59,2006-04,2007-07,"000869, 600627","张裕, 上电股份"
60,2006-04,2010-07,000793,华闻集团
61,2006-04,2021-06,600271,航天信息
62,2006-07,2007-01,"600276, 600406, 600578","恒瑞医药, 国电南瑞, 京能电力"
63,2006-07,2007-07,"000761, 600834, 600970","本钢板材, 申通地铁, 中材国际"
64,2006-07,2008-01,"000617, 000997, 600299, 600361, 600410, 600460, 600498, 600521, 600588","中油资本, 新大陆, 安迪苏, 华联综超, 华胜天成, 士兰微, 烽火通信, 华海药业, 用友网络"
65,2006-07,2008-07,"000029, 600754","深房集团, 锦江酒店"
66,2006-07,2009-01,"600535, 600628","天士力, 新世界"
67,2006-07,2010-01,600616,金枫酒业
68,2006-07,2012-07,600151,航天机电
69,2006-07,2013-07,600456,宝钛股份
70,2006-07,2013-12,600132,重庆啤酒
71,2006-07,2015-01,000562,宏源证券
72,2006-07,2015-06,"600143, 600655","金发科技, 豫园股份"
73,2006-07,2015-12,600809,山西汾酒
74,2006-07,2016-06,600549,厦门钨业
75,2006-07,2017-06,600875,东方电气
76,2006-07,2019-12,600415,小商品城
77,2006-10,2012-01,600018,上港集团
78,2007-01,2007-07,"002052, 600332","同洲电子, 白云山"
79,2007-01,2007-10,600200,江苏吴中
80,2007-01,2007-11,002025,航天电器
81,2007-01,2007-12,600472,包头铝业
82,2007-01,2008-01,"002008, 002051, 600160, 600312","大族激光, 中工国际, 巨化股份, 平高电气"
83,2007-01,2008-07,"600161, 600190","天坛生物, 锦州港"
84,2007-01,2009-01,"000751, 600787","锌业股份, 中储股份"
85,2007-01,2009-07,"600007, 600761","中国国贸, 安徽合力"
86,2007-01,2011-01,000897,津滨发展
87,2007-01,2011-07,"600596, 600748","新安股份, 上实发展"
88,2007-01,2013-12,600432,吉恩镍业
89,2007-01,2014-06,601001,晋控煤业
90,2007-01,2015-12,"600316, 600497","洪都航空, 驰宏锌锗"
91,2007-01,2017-12,600150,中国船舶
92,2007-01,2021-06,"600066, 600068","宇通客车, 葛洲坝"
93,2007-01,2021-12,600118,中国卫星
94,2007-04,2008-07,600501,航天晨光
95,2007-07,2008-01,"000690, 002069, 002078, 002083, 002097, 002106, 600003, 600859","宝新能源, 獐子岛, 太阳纸业, 孚日股份, 山河智能, 莱宝高科, 东北高速, 王府井"
96,2007-07,2008-07,"002110, 601002","三钢闽光, 晋亿实业"
