,month_details,stock,stock_name,month
178,2005-04,600724,宁波富达,85
179,2005-04,600205,山东铝业,85
180,2005-04,600296,兰州铝业,85
181,2005-04,600231,凌钢股份,85
182,2005-04,000939,凯迪生态,85
183,2005-04,600894,广日股份,85
184,2005-04,000518,四环生物,85
185,2005-04,000659,珠海中富,85
186,2005-04,000726,鲁泰纺织,85
187,2005-04,000733,振华科技,85
188,2005-04,000806,银河生物,85
189,2005-04,000920,沃顿科技,85
190,2005-04,000959,首钢股份,85
191,2005-04,000968,蓝焰控股,85
192,2005-04,600057,厦门象屿,85
193,2005-04,600091,明天科技,85
194,2005-04,600115,中国东航,85
195,2005-04,600126,杭钢股份,85
196,2005-04,600138,中青旅,85
197,2005-04,600166,福田汽车,85
198,2005-04,600207,安彩高科,85
199,2005-04,600215,长春经开,85
200,2005-04,600408,安泰集团,85
201,2005-04,600581,八一钢铁,85
202,2005-04,600621,华鑫股份,85
203,2005-04,600652,游久游戏,85
204,2005-04,600654,中安科,85
205,2005-04,600674,川投能源,85
206,2005-04,600854,春兰股份,85
207,2005-04,990018,上港集箱,85
208,2005-04,000780,平庄能源,85
209,2005-04,000016,康佳集团,85
210,2005-04,000429,粤高速,85
211,2005-04,000507,珠海港,85
212,2005-04,000511,烯碳新材,85
213,2005-04,000533,顺钠股份,85
214,2005-04,000543,皖能电力,85
215,2005-04,000571,大洲控股,85
216,2005-04,000573,粤宏远,85
217,2005-04,000666,经纬纺机,85
218,2005-04,000727,冠捷科技,85
219,2005-04,000735,罗牛山,85
220,2005-04,000737,南风化工,85
221,2005-04,000886,海南高速,85
222,2005-04,000916,华北高速,85
223,2005-04,000949,新乡化纤,85
224,2005-04,600007,中国国贸,85
225,2005-04,600068,葛洲坝,85
226,2005-04,600103,青山纸业,85
227,2005-04,600190,锦州港,85
228,2005-04,600608,上海科技,85
229,2005-04,600705,中航产融,85
230,2005-04,600707,彩虹股份,85
231,2005-04,600726,华电能源,85
232,2005-04,600744,华银电力,85
233,2005-04,600790,轻纺城,85
234,2005-04,600805,悦达投资,85
235,2005-04,600866,星湖科技,85
236,2005-04,600002,齐鲁石化,85
