month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
126,000001.SZ,1,0.0115435,0.70777,0.803494,-0.0135021,0.132566,0.0477719,1.86592,-1.69159,0.519195,0.0271047,0.128086,0.459793,-0.608231,0.684146,0.61925,0.441951,0.37874,0,0,0.45567,0.50952,0.137295,0.075013,0.959033,0.871758,-0.0322935,-0.258454,0,0,0.21828,-1.32896,0.594568,-0.0536695,0.266115,0.337952,0.234298,0.178923,0.500008,0.550127,0.107259,0.234157,0.265913,0.373237,0.0853258,0.0551111,-0.272379,-0.786651,-0.13777,0.0617694,-0.377919,-0.743599,-2.0682,-1.24701,0.407659,0.377867,0.309752,0.503952,0.0602023,-0.0292008,-0.346793,-0.387539,-0.17158,0.344111,0.124947,0.215532,-3.15847,2.19065,1.40646,1.34511,0.873476,0.541927,0.348287,0.446931,2.62873,-0.00423022,1.29485,0.189318,-0.143425,-0.744142,-1.00097,-0.390936,-0.870621,-1.03138
126,000002.SZ,1,0.167392,-0.304896,0.0123635,0.069965,0.381147,0.0189513,-1.49651,-0.0749966,-0.615315,0.414914,-0.734745,-0.229071,-0.929699,-0.568166,-0.616929,-1.18513,-0.951604,-0.317341,-0.137559,-0.544098,-0.461399,-0.303403,-0.128167,0.0297855,-0.536567,-0.491491,-0.363524,-0.65197,-0.139477,-3.28033,-0.309871,0.864499,1.07266,1.55451,0.655902,-0.352621,0.316959,0.73714,0.215925,-0.921805,-0.942592,-0.348545,0.129207,0.98883,1.07018,0.487148,0.251003,-0.670618,0.187399,0.387084,0.289353,1.31725,0.373917,0.292632,0.306308,0.148518,0.0172738,-0.0738373,0.006617,-0.271758,-0.610611,-0.616182,0.799615,-0.15206,-0.895171,-0.610175,0.897558,2.20761,-0.222055,1.87375,0.0984833,0.0293748,0.347051,-0.926483,-0.239004,-1.14232,-0.249473,0.109407,-0.497111,-1.73078,-0.763052,-1.67648,-1.00815
126,000003.SZ,0,0.223214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,000004.SZ,1,-0.0413366,-0.865635,-0.463861,-0.810704,-0.961107,-1.40699,-0.995414,-0.230596,0.135159,0.00271354,0.284185,-0.549087,0.174373,-0.807119,-1.24763,-0.759814,-1.45529,1.63235,0.680505,-1.30332,-1.94519,-1.12951,-1.09992,-1.24935,0.584636,0.356579,-0.573046,0.055746,-0.0678236,1.73709,0.673134,0.7654,-0.537146,0.341024,0.321269,0.387912,0.294759,0.72822,0.429579,1.46054,0.8542,0.524215,0.525859,0.698931,0.524491,1.0714,0.81352,2.67737,2.26817,2.50382,2.27544,0.280209,-1.01096,0.748474,1.0184,1.14785,0.957635,0.202524,0.587963,0.776061,0.241427,-0.323714,0.065329,-0.378778,0.595063,0.582097,0.219536,0.680867,2.05915,2.88054,1.43845,-0.152373,0.109397,0.577276,-0.163737,1.70443,0.282307,-0.118391,-0.118986,-0.044088,-0.0369689,-0.0242646,-0.0478923
126,000005.SZ,1,-0.0442282,-1.05024,-0.490166,-0.641176,-0.610106,-0.258123,-0.411374,-0.712824,-1.19561,-2.46522,-1.50802,0.107251,-1.33345,-0.72884,-0.797732,-0.517345,-0.549924,1.66565,2.4368,-2.07942,0.25405,-0.556251,-0.546632,-0.785383,-1.80635,0.700786,1.62379,-0.834736,-1.88972,-0.0353537,-0.0170594,-1.14074,0.653372,0.6007,0.186209,-1.1817,0.446661,0.208353,0.497842,1.11926,0.379459,-0.0146436,0.0173021,-2.93969,-0.725045,-0.087358,0.589056,-0.857286,-0.0712704,0.671885,1.21837,1.40005,0.54673,0.14253,0.775898,0.785333,0.8035,-0.674192,0.404142,0.486595,0.424157,0.00616,-0.00124316,2.72905,-0.43298,2.09499,-1.10386,0.280199,-0.0379543,-0.179701,0.790476,-2.06087,0.095181,-1.12844,1.70472,-1.00693,2.66133,-0.523065,-0.0505827,0.182265,0.360401,0.0319602,0.698947
126,000006.SZ,1,0.046976,2.46351,2.98702,0.965488,0.366841,1.05875,-2.16249,0.932164,1.71989,2.49179,1.75228,-0.00555518,1.50292,2.23369,1.14465,0.883435,0.475199,2.08891,2.06942,2.09119,2.15154,-0.0602062,-0.199797,-1.27753,-1.63923,-0.889797,-1.37191,-0.128698,1.95234,-0.0881448,-0.407065,1.15536,0.953666,0.406885,0.562777,0.57007,0.555418,-1.14349,-0.0923887,0.988343,0.789073,0.690507,0.243139,0.465736,0.484411,0.270495,0.0999888,0.0576861,0.11927,-0.532768,-0.260896,0.0532513,-0.839936,0.71002,0.495613,0.169652,0.574507,0.532982,0.151932,-0.418564,0.258348,0.214816,-1.25737,-0.0554788,-2.25319,-1.69577,1.73198,1.70496,0.105693,0.433305,1.12469,1.57214,1.29307,0.274994,-0.268289,-0.221429,-0.409687,-0.0798439,-0.725953,-1.25943,-0.502757,-1.53417,-1.08812
126,000007.SZ,1,0.166834,0.0509149,-1.26046,-1.8293,-0.0604148,2.35308,0.637101,-0.509298,0.0581944,0.604646,0.122359,-0.449722,0.0750785,0.302828,-2.11979,-1.18042,-0.222189,1.66343,1.44741,-1.85259,-1.83391,-0.290383,-0.326937,-0.430359,1.54403,2.34311,2.63789,-0.412775,-0.789428,0.747922,-0.713635,3.32494,1.78998,-0.0402683,-0.710186,1.67148,1.61878,0.953878,0.956513,1.73412,1.96491,1.73358,1.60153,0.0117867,-0.362794,-0.435277,-0.521517,2.59434,2.22157,2.34175,2.11703,0.809705,-0.394339,1.33009,1.31153,0.670991,0.702506,1.53806,1.56962,0.852406,1.14424,-0.139379,0.0281282,-0.163088,1.81046,1.51795,2.63595,2.32953,1.10753,2.36158,3.10344,-0.0656061,0.047102,0.248553,-0.0704991,0.733863,0.12155,-0.0509748,-0.051231,-0.0189826,-0.0159174,-0.0104474,-0.0206206
126,000008.SZ,1,0.218125,-0.366644,-0.266526,-0.996218,-2.28782,-0.0623035,-0.56392,-0.415522,-0.227277,0.532145,-0.70396,-2.35601,-0.68367,-0.137961,-0.169316,0.0981763,0.0814521,0.555289,0.565191,-0.333048,-1.4192,-2.38478,-2.64156,-1.94291,0.423833,1.53649,0.480615,2.55569,3.03646,2.09079,0.323002,-0.0886326,-0.18053,-0.0740661,0.393036,0.0476618,0.544323,0.573897,0.851704,0.162745,0.160454,0.222961,0.463378,1.30454,1.70371,1.50461,0.989942,1.90434,2.08574,2.42941,2.35083,0.0170406,-0.255666,1.04409,1.12298,1.04106,1.15232,0.862757,0.975166,0.857017,1.05088,-0.389627,0.0786311,-0.455904,-0.126552,-0.188855,-0.199302,-0.3177,-1.05625,0.864374,-0.423161,-0.183399,0.131671,0.694819,-0.197077,2.05148,0.339789,-0.142498,-0.143214,-0.0530651,-0.0444964,-0.0292053,-0.0576439
126,000009.SZ,1,0.453477,0.77505,-1.05407,0.238336,0.476304,-0.217546,1.35358,-0.80658,-1.36151,0.775936,-0.696936,-0.0246038,0.262681,-0.761779,0.0849988,0.247165,0.0688197,0.00205662,0.0325353,-0.947095,-1.00243,0.221424,0.0997394,0.83849,0.6796,0.0739528,0.0862498,0.0367921,-0.467358,-0.382511,0.961315,0.320624,0.886972,1.46579,0.576549,0.392403,0.840409,2.54594,1.50308,0.673389,0.651071,0.918522,1.62014,1.52763,2.24282,0.483569,0.4407,0.72816,0.195383,0.553121,0.995036,1.13732,-0.464749,0.528812,0.474564,0.273135,0.286158,0.481129,0.393218,0.0999731,0.0705688,0.75827,-0.0142992,2.80475,-0.779754,0.963054,-0.941576,-0.306672,-0.297922,-0.15747,0.636176,-0.369164,-1.00961,-1.38308,-2.05406,-1.41722,-0.868537,-0.26878,0.481374,0.191076,-1.65108,0.0368095,1.30083
126,000010.SZ,1,0.0543825,-1.77013,-0.783175,-1.70773,-1.00949,-0.267017,0.0685279,-0.842898,0.0818504,-0.170091,0.172098,0.0680723,0.105598,-0.507771,-2.54243,-0.518494,-2.35691,1.922,1.27681,-0.260782,-0.898789,-0.966044,-0.328312,-2.09371,-0.493204,-0.520254,-1.9695,-1.08271,-0.617428,1.05195,-0.144003,1.79938,2.53005,1.82808,0.791628,0.721925,2.35612,1.10413,0.881861,0.456221,0.88613,1.14958,1.26274,0.239129,-0.308688,-1.54236,-1.9339,1.3161,1.66284,1.9565,3.05565,0.417279,0.45322,0.802757,0.698322,0.163438,0.39762,0.871206,0.882135,0.353827,0.75451,-0.196036,0.0395623,-0.229383,-0.521679,0.250644,0.991633,1.39438,2.49051,1.0782,1.78325,-0.092275,0.0662489,0.34959,-0.099157,1.03218,0.170961,-0.0716961,-0.0720565,-0.0266991,-0.0223878,-0.0146943,-0.0290029
