month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
180,000001.SZ,1,-0.0551178,0.276007,0.256957,-0.110106,0.048909,1.62742,1.20108,-2.28606,0.47709,0.716641,0.219841,1.9826,0.269653,-0.240548,-0.143189,0.158722,0.159213,0,0,0.148596,0.150078,0.071802,0.0538343,1.68886,0.629539,-0.126549,-0.207075,0,0,-0.0983761,-0.514459,0.550221,-1.54642,-1.55401,-0.678933,0.276,-1.24146,-0.841346,-0.382043,1.41241,0.464504,-0.504257,-0.760226,-0.798241,-1.93352,-1.35515,-0.850544,-1.9074,-2.62651,-1.84508,-1.28359,-2.02564,-0.637605,-0.897828,-0.590747,-0.306672,-0.08795,-1.65998,-1.54105,-0.727332,-0.335065,-0.45895,0.901414,0.774079,0.803236,1.82684,-1.81242,2.18001,-0.0865298,-0.228454,1.12239,-1.08507,-0.353339,1.70549,-0.221894,1.05899,0.127434,-2.16301,-0.789325,-0.0191982,0.0354333,0.813011,0.768043
180,000002.SZ,1,0.0483759,0.98517,1.19295,0.0778924,0.593984,1.44169,-0.543068,-0.164992,2.12096,1.24487,0.526808,-0.28653,0.362658,-0.383401,0.0669301,-0.947642,-0.711431,-0.389738,-0.331244,-0.155362,-0.0824017,-0.409767,-0.253153,-0.523547,-0.332498,-0.893085,0.313344,0.164631,0.249372,-3.02,1.46446,0.607455,-0.620047,-0.378372,-0.309184,0.691348,-0.356745,-0.155876,-0.0387889,0.725036,0.566746,0.14892,-0.121253,0.0839643,-0.602505,0.107687,0.313434,-0.23936,-0.676202,-0.0973413,0.020098,-0.2193,-0.043707,-0.750543,-0.855121,-0.619227,-0.535009,-0.951996,-1.40265,-0.78956,-0.56929,-0.732213,0.0145049,-0.117776,0.894042,-0.872997,1.64998,2.35483,0.56855,-0.50451,0.70914,0.270824,0.772254,0.759849,0.396511,-2.30725,-0.370721,-1.3349,-0.926765,-0.370664,-0.56599,-0.412903,-0.246622
180,000003.SZ,0,0.0174668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,000004.SZ,1,0.132771,-0.0360659,0.134571,-0.783233,-0.380058,-0.248485,0.143039,-0.301504,-0.22963,-1.24175,-0.242544,-1.06112,-2.70421,-0.632486,0.157921,-0.482246,0.0682627,0.643073,0.853038,-0.886077,-0.35675,-0.806687,-0.715245,-0.321357,-0.163732,0.0644265,0.0784571,-0.808596,-0.443436,2.1419,-0.447848,0.6659,0.0975064,-0.114497,0.192684,0.741451,-1.26624,-0.333465,-0.69745,-0.0990056,-0.299609,-0.698443,-0.623978,0.875404,0.184669,0.754658,0.966152,1.2087,0.259691,0.648584,0.172033,0.506511,-1.04597,1.01191,0.547155,0.70577,0.266517,0.918198,0.327972,0.566289,-0.131658,-0.569356,0.0618835,-0.175887,-0.474279,-0.490594,0.759665,0.447144,0.936683,-0.172793,-0.0120814,0.257842,0.776237,0.81432,0.153587,2.66146,0.710955,0.243724,0.334697,0.300984,0.14796,0.335592,0.257716
180,000005.SZ,1,-0.0229744,-1.61678,-2.01842,-0.991971,-0.848662,-0.259599,0.535752,-0.49413,0.49586,-0.100736,-2.48048,3.07459,-2.6107,-1.62185,-1.37204,-0.609971,-0.721307,-2.13062,-2.40315,-2.5705,-2.619,-0.376636,-0.504879,-2.05132,-1.94975,1.06191,1.91733,-0.473193,-1.16288,0.661744,1.04835,0.335568,0.235159,0.776628,1.31002,0.321609,-0.00852213,0.584308,0.546756,-0.0163848,0.28435,0.384235,0.443377,1.08143,1.39003,1.32884,0.995989,0.651021,0.438122,0.41406,0.409794,1.36074,0.428201,0.766694,0.687456,0.769753,0.769538,0.342002,-0.123903,-0.0235296,-0.122005,-0.178391,0.0193894,2.64733,0.0796967,-0.188121,0.230852,0.16091,0.486966,0.171958,0.149619,0.0807872,0.243211,0.255143,0.0481217,0.833888,0.222757,0.0763635,0.104867,0.0943043,0.0463589,0.105148,0.0807475
180,000006.SZ,1,-0.0257297,2.14408,1.6893,0.538606,0.228865,1.98094,2.5588,0.00900251,1.40184,0.18523,0.520258,0.915551,0.428949,1.24263,0.797063,0.626693,0.578972,0.0460165,0.401665,1.04494,0.974324,0.265306,0.203686,1.56661,1.40304,0.243993,-0.552986,0.0444459,-0.103162,-0.344705,-0.329639,0.774684,0.271174,-0.00397534,0.0799,0.489583,-0.0555469,0.146019,0.0871427,0.142293,0.420487,0.34418,0.226385,0.880755,0.228419,0.637352,0.332088,0.0286843,-0.163744,-0.00419135,0.0402163,0.645304,-1.2843,0.34448,0.0817246,0.21606,0.253582,0.176044,-0.702067,-0.497873,-0.701706,-1.52398,-0.00968293,1.14319,-0.424059,-1.44943,1.80087,1.62251,0.544093,0.716424,0.17991,0.166647,0.93394,-0.315523,0.540679,1.46916,0.521747,0.218765,0.373847,0.379798,0.627102,0.375614,0.349376
180,000007.SZ,1,-0.00590343,-0.234101,0.0984163,-1.24179,-1.41848,0.81582,0.172061,-0.49427,1.01126,2.79554,3.429,0.0478046,3.56335,0.440692,0.294872,0.083079,0.146027,2.16629,2.53808,0.310778,0.459992,-1.0328,-1.52651,2.17559,2.32785,-0.419533,1.10481,-0.00530693,-0.587442,0.63725,-0.852211,1.35082,-0.812191,-0.466436,-1.778,2.20649,1.294,0.94553,-0.0105409,1.73227,2.15663,2.41411,2.70401,-3.07292,-3.50753,-3.37689,-3.17765,-2.77255,-3.44445,-2.30752,-1.84482,-0.685479,2.23842,-1.6553,-0.783099,-0.132568,-0.197531,-3.1646,-2.26564,-1.26973,-2.17092,-1.75231,-0.471252,3.18865,-0.344551,2.13776,1.61387,1.60112,0.0296796,2.71657,2.40128,-0.901907,1.96472,2.55762,2.8868,1.13497,3.41165,-2.13706,-0.392527,0.574697,0.167699,0.19363,1.41092
180,000008.SZ,1,-0.0994346,-0.583766,-0.799612,-1.1392,-2.16771,0.0296645,-0.279928,-0.892596,0.0188912,-2.18928,0.0653483,0.0450101,0.0483595,-0.822125,-1.02981,-0.661549,-0.740433,0.951587,0.91719,-0.234424,-0.310736,-2.80588,-2.87887,-2.2164,-2.37324,1.55471,0.944373,2.37314,2.6393,0.612874,-1.2004,-1.30014,-2.33029,-1.72481,-2.43477,-0.312975,-0.130001,0.2252,0.283491,-1.35027,-0.885814,-0.420148,-0.0224834,-0.660754,-1.2312,-0.739375,-1.10552,0.249293,0.025633,0.455472,0.120576,-1.17919,0.506229,0.458835,0.578166,0.678766,0.573457,-0.0610897,0.184516,0.670947,0.298113,-0.16288,0.0177035,-0.0503173,0.783574,-2.01224,-0.586158,-1.744,-1.28127,-1.62522,-2.43351,-2.17255,-1.11973,-0.479694,-0.197892,-0.878564,2.59894,-3.48984,-1.87558,-2.02631,0.0423282,0.0881113,-0.273466
180,000009.SZ,1,0.0164598,-1.62693,-1.49651,-1.08223,-0.136005,-0.281599,-0.288353,-0.844925,-0.573913,0.145286,-0.747105,-0.0792975,-1.1726,-1.13615,-0.943859,-0.319506,-0.498016,-0.250775,-0.325514,-0.83204,-0.840684,0.20575,0.236112,0.478179,0.0470178,0.229866,-0.372122,0.343069,0.103497,-1.08924,-0.00860171,-1.80354,-1.17427,0.10569,0.518055,-2.36385,-1.59999,-0.57735,-0.371255,-0.043122,-2.04509,-2.46517,-1.51767,-1.18376,-0.290048,0.471634,0.144546,-2.52337,-1.05489,-0.135727,-0.681944,-0.625647,0.304993,-1.55958,-0.808552,-0.3975,-0.444178,-1.33343,-0.161893,0.561212,0.481971,0.286958,-0.0311896,0.0886476,0.289164,0.508923,-2.28043,-1.89159,-0.990185,0.13053,-0.26465,-1.81981,-2.6394,-1.38054,-1.59917,-2.8324,-1.49673,-1.91925,-1.74063,-1.82804,-1.38164,-1.90209,-1.82982
180,000010.SZ,0,0.293937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
