month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
97,000001.SZ,1,-0.03432,-0.00848463,0.010155,-0.0848589,0.161057,1.69136,1.84618,-0.23154,-0.000520769,0.0860215,0.378048,0.088321,0.464344,0.411526,-0.166156,0.504699,0.504459,0,0,0.247923,-0.587603,0.272257,0.220626,2.64931,1.57041,0.0385895,-0.118141,0.201901,0,0.197471,0.436924,-0.912601,-0.317342,-0.0966219,0.323295,-0.259502,-0.0501931,0.184494,0.353095,-0.0883173,-0.255568,-0.196858,-0.059066,-0.36682,0.0206741,0.315275,0.368489,-0.384862,-0.412693,-0.0443661,-0.0124044,-1.11698,-0.162992,0.227658,0.497674,0.681423,0.691848,-0.778544,-0.417438,-0.0558476,0.00366133,1.87737,0.585619,-2.74231,0.960674,-1.766,-1.82577,-1.76103,-0.155866,-0.739032,-1.11601,-0.287863,-1.44166,-0.386862,-0.445356,0.244963,-1.36551,0.519111,2.00245,3.50047,1.44592,0.35808,2.34376
97,000002.SZ,1,-0.282755,-0.444696,-0.415573,-0.415794,-0.198036,0.0281117,-0.904087,-0.375888,1.15411,0.135199,0.352773,-0.286453,-0.209821,0.0195175,0.0655395,-0.172948,-0.464649,-0.0801816,-0.260802,0.533044,-0.153141,-0.472914,-0.325937,-0.679255,-0.321211,0.231922,1.04571,-0.814748,0.0315166,-3.24626,0.0906055,1.81061,0.683756,0.550484,0.516144,1.56055,1.50208,1.51099,0.926118,1.19077,1.49856,1.64403,1.57773,0.250768,0.295048,-0.163254,-0.271492,0.771417,0.205985,0.252506,0.105269,0.981932,1.20127,0.941229,0.98025,0.19449,-0.238272,1.46974,1.54372,0.655026,-0.224697,-0.60315,-0.433815,-4.94909,2.19304,2.09622,-0.59106,3.40553,0.640874,0.745778,1.61658,-0.663979,0.816452,0.0272937,1.06703,2.61874,1.47566,0.0538491,-0.471596,2.18673,0.536101,1.26977,-0.601443
97,000003.SZ,0,-0.151368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,000004.SZ,1,0.305859,-0.858901,-1.20786,-0.788873,-0.911064,0.758641,-0.482353,-0.360782,-0.00518824,-0.239049,0.209839,0.121224,0.145334,-0.857767,-1.85843,0.943895,-1.83372,1.12099,0.68452,-1.63388,-1.71789,-0.619607,-0.345787,-2.0174,-0.382243,0.467794,0.340079,0.277118,0.0985489,1.47972,1.1329,1.38262,1.00661,0.891514,0.656444,0.87735,0.768521,0.618337,0.545367,0.933124,0.852627,0.846371,0.788722,-0.0180779,-0.309654,0.232486,0.130559,0.247475,0.149032,-0.274603,-0.361305,0.0487031,1.17914,0.799103,0.692234,0.666717,0.556456,0.976408,0.938657,1.20052,1.77881,-0.231974,0.0390813,0.0239536,0.401468,1.15775,1.42421,1.73859,1.89279,1.21126,1.43201,-0.219338,0.0435889,0.287236,-0.135288,0.813294,0.216326,-0.149738,-0.0301683,0.161521,-0.10408,0.184137,0.0933747
97,000005.SZ,1,0.258593,-2.1132,-1.53447,-0.468254,-0.563599,-0.18884,-0.409978,-0.804246,0.00151524,2.6958,-0.0612841,-0.0354039,-0.042445,2.57457,-2.355,2.57948,-2.26647,1.18307,1.12671,2.16501,-2.42464,0.608101,-0.516367,0.102979,-0.388125,0.468007,0.496486,-0.0809328,-0.0287814,-0.436646,0.208875,-2.37552,-1.68279,-1.22382,-0.38925,-0.386555,0.271024,0.462808,0.619011,-0.941044,-0.556173,-0.18057,0.1498,0.368416,0.384453,0.271994,-0.0600444,1.17497,0.956803,0.640505,0.126836,1.26191,-1.45175,0.463449,0.943333,0.764314,0.463944,0.136339,0.821566,0.706548,0.0182593,0.0677484,-0.0114138,-0.00699572,0.199183,-1.82523,-1.84951,-2.41382,-1.47366,-1.07943,-2.41036,0.0640582,-0.0127302,-0.0838879,0.0395112,-0.237524,-0.0631784,0.0437314,0.00881073,-0.0471727,0.0303969,-0.0537777,-0.0272703
97,000006.SZ,0,-0.0137279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,000007.SZ,1,0.229229,-0.591207,0.21341,-0.789965,0.795566,0.356946,2.33652,-0.687242,1.00786,0.768605,-1.74898,-0.411439,-2.18219,-1.43364,-0.91809,-0.169157,-0.481589,1.78867,0.139025,-1.1051,0.0173429,-0.16887,0.217921,-0.0891548,-2.18664,-2.90591,-1.52656,-1.11582,-0.756553,1.04504,-0.0231807,1.50181,1.39995,1.10845,0.267535,1.431,1.05961,0.840219,0.00360361,0.364915,0.961248,1.15867,1.13452,-0.537902,-0.265588,-0.425834,-1.11034,-0.183061,-0.335194,-0.537569,-0.846134,0.58068,0.524158,1.11506,0.843692,0.793412,0.030459,1.11663,0.921751,1.10263,-0.0298292,-0.163574,0.0275579,0.0168907,0.371915,0.236872,1.99573,1.53565,1.77102,0.4009,0.887867,-0.154664,0.0307364,0.202542,-0.0953975,0.573488,0.15254,-0.105587,-0.021273,0.113896,-0.0733915,0.129843,0.0658424
97,000008.SZ,1,0.164827,-0.202816,0.10158,-0.997574,-1.87531,-0.152396,-0.0766677,-0.459514,0.684727,-1.97916,-1.41774,0.147601,-1.76339,0.029918,-0.833304,0.0773748,-1.39183,1.10422,1.07995,-0.125743,-1.20952,-1.97397,-1.1352,2.16555,-1.22386,1.49818,0.590116,2.73893,2.98951,1.80449,-0.306069,0.972185,0.982464,0.530242,1.15949,1.02785,0.862269,-0.0547502,-0.174267,1.20627,1.15584,1.04763,0.823586,1.76378,1.28118,0.280407,0.63106,-0.072694,0.165082,-0.0548237,-0.664554,-0.545744,-0.104175,-0.124014,-0.23531,-0.703491,-1.43265,0.958157,0.983636,0.769548,0.153098,-0.282447,0.0475848,0.0291656,0.0614925,1.07965,0.560799,0.976483,1.20269,-0.680236,1.30924,-0.267062,0.0530731,0.349734,-0.164725,0.990254,0.263394,-0.182319,-0.0367325,0.196666,-0.126727,0.224202,0.113691
97,000009.SZ,0,-0.0251548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,000010.SZ,0,0.163446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
