month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
130,000001.SZ,1,0.148377,0.721154,0.745949,-0.252849,0.162012,1.75892,1.8301,-1.34477,0.453958,0.0812579,0.213526,0.782228,-0.615762,0.729242,0.640053,0.445076,0.376547,0,0,0.447472,0.504343,0.132327,0.0667287,1.65824,1.75992,-0.0520501,-0.281543,0,0,0.134753,-1.2712,-0.969269,-0.636357,0.0107388,0.209113,-0.190399,-0.037968,0.0901874,0.387039,-0.641195,-0.312024,-0.143452,-0.0225042,-1.16877,-0.703155,-0.18356,-0.764329,-1.26361,-1.04633,-0.519888,-0.805493,-1.50837,-1.25246,-0.289276,-0.0765177,0.018352,0.0998662,-1.92014,-1.57148,-1.24961,-1.3265,-0.148467,-0.12467,-1.04163,-0.539044,-1.95312,-2.18976,-2.10256,0.644951,-0.334338,-1.24081,0.28105,0.600467,1.77489,-0.0687325,1.25374,0.288567,-0.547998,-0.133325,-0.742117,-0.0557814,0.155578,0.28433
130,000002.SZ,1,0.00475237,-0.382283,-0.159164,-0.235637,0.334687,-0.690087,-0.880938,0.102202,-0.534628,0.612934,-0.722008,-0.156507,-0.367625,-0.864499,-0.62004,-1.41737,-0.972264,-0.413978,-0.282574,-0.870884,-0.640742,-0.38528,-0.149758,0.0481953,-0.10753,-0.643308,-0.367636,-0.657616,-0.360185,-3.17907,-0.269016,0.483597,0.428868,-0.342086,0.328089,0.296028,0.175782,-0.150935,0.130836,0.362651,0.275968,0.182075,0.147977,0.711393,0.279028,0.29466,0.098607,0.558489,0.316888,0.147631,0.252906,1.11876,0.636043,0.0809483,-0.0817617,-0.0315226,-0.0123478,0.402644,-0.415232,-0.528106,-0.470149,-0.497134,0.611557,-0.64264,0.041677,-1.01988,2.4643,-1.26745,0.259901,0.558216,0.433396,-0.523556,-1.00954,-1.4554,-1.53017,-1.06814,-0.953027,-0.474558,-0.658881,-0.751114,-1.46317,-0.978481,-0.760566
130,000003.SZ,0,-0.052309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,000004.SZ,1,0.0314119,-0.572676,-0.268832,-0.533213,-0.791976,-1.58306,-1.16456,-0.152243,0.1793,0.409852,0.367423,-0.582926,0.25538,-0.927911,-1.17384,-0.892711,-1.4836,0.848713,0.461107,-1.35651,-1.83167,-1.0275,-1.04269,-0.97092,0.799289,0.283766,-0.667032,0.21697,-0.059045,1.93691,0.768343,-0.556863,-0.0266209,0.900067,0.886636,0.802013,1.19512,1.30348,1.167,0.665105,1.0409,1.20049,1.25227,-0.116884,1.18931,1.20172,1.33139,0.546513,1.6269,2.07248,2.28812,0.500154,-1.05237,1.55208,1.50074,1.27788,1.32066,1.16188,1.17893,0.891909,1.01094,0.494085,0.0602384,-0.308505,-0.482608,0.0201644,-0.494957,-0.208178,-0.914268,-1.20399,-0.211527,-0.103515,0.188581,0.640915,-0.167201,1.85982,0.329314,0.33593,0.112409,-0.118348,0.0241355,-0.109244,-0.0752914
130,000005.SZ,1,0.0104087,-0.984922,-0.416521,-0.652793,-0.58455,0.467661,0.188269,-0.735114,-0.940418,-1.99391,-1.38737,0.641804,-1.2039,-0.523622,-0.80499,-0.451129,-0.614428,2.10481,2.42171,-0.829303,0.364395,-0.474085,-0.545174,2.69348,-1.62418,0.593552,1.65186,-0.559104,-1.91248,-0.0142067,0.0029214,0.464364,0.0477763,-0.452684,0.288632,0.627498,0.0114009,-0.291417,0.0525369,0.253119,0.278584,0.104545,0.0473704,1.02652,-0.0274271,-0.49832,0.235661,0.980195,-0.305063,-0.112566,0.586164,1.32893,0.41137,0.571239,0.507213,0.596408,0.685332,0.142764,-0.191203,0.0113004,0.246387,0.00342563,-0.00031405,2.31039,-0.552008,0.220799,0.474802,0.508037,-1.60094,-0.495542,0.200491,-1.54976,1.7191,-0.580868,1.96247,0.00168663,2.7622,-0.261345,0.596406,0.765988,0.816516,0.668594,1.07212
130,000006.SZ,1,0.246774,2.45427,2.85639,0.715691,0.288161,-2.21704,-1.88935,1.17218,1.74814,2.70251,0.614725,-0.00499338,0.709413,1.48905,0.997757,0.386623,0.379563,2.09944,2.07146,2.0368,2.00166,-0.193946,-0.238911,-1.68052,-1.62143,-0.935907,-1.30956,-0.577296,0.301992,-0.121133,-0.455022,0.431496,0.162894,0.698565,0.122797,0.689211,0.417691,0.508378,-0.158427,0.447436,0.637267,0.576489,0.501598,1.36721,-0.347668,0.0402695,0.0942694,0.810882,0.169772,0.286863,-0.203063,0.00371011,-0.658849,0.537975,0.221295,0.371556,0.359449,0.210217,-0.606865,-0.299786,-0.40698,0.289296,0.721991,0.456995,0.321484,-1.22785,2.04496,0.734587,-0.47758,0.089223,0.446996,1.2299,2.16443,1.39596,-4.28655,1.40454,0.854962,0.750493,2.81179,2.94054,-3.18333,2.99659,3.03718
130,000007.SZ,1,0.059104,-0.272882,-1.41867,-2.00584,-0.108896,2.39611,0.152264,-0.589424,0.0672783,0.0943021,0.137867,-0.709711,0.0958257,0.290626,-0.247151,-1.45028,-0.278707,1.47304,1.55344,-2.09666,-1.9743,-0.314479,-0.327283,-0.403951,1.72362,2.35035,2.73866,-0.426323,-0.772961,0.726783,-0.296355,0.259007,1.17734,1.05696,-0.702311,0.753478,1.36102,1.22291,1.17994,0.173753,0.761042,1.08117,1.22018,-1.40403,-1.57606,-1.11573,-1.29302,0.19292,1.97441,1.94673,2.12118,0.667486,0.271515,1.00623,1.1783,1.25761,0.727616,1.12151,1.49455,1.75018,1.11046,-0.246553,0.0226031,-0.11576,0.0298433,-0.721458,1.23867,0.479776,-0.473336,1.25231,0.0910301,-0.0388416,0.070761,0.240489,-0.0627383,0.697857,0.123568,0.12605,0.0421792,-0.0444075,0.0090563,-0.0409914,-0.0282514
130,000008.SZ,1,-0.018441,-0.465412,-0.262691,-1.20932,-2.26692,0.0496425,-0.570506,-0.513856,-0.171524,0.426232,-0.800848,0.0791164,-0.835507,-0.115375,-0.28705,0.0476545,-0.185761,0.469964,0.529961,-0.223325,-1.48334,-2.29583,-2.51095,-2.19986,-2.45723,1.55253,0.536727,2.66204,3.04646,1.85419,0.242262,-0.773882,0.48942,-1.5221,-0.354823,0.719761,0.983621,0.78948,0.916837,0.251839,0.705575,0.861535,0.848647,-1.00623,0.415047,0.509168,0.706049,0.634191,2.00202,2.1042,2.21036,-0.355548,0.408496,1.1441,1.03605,0.954874,1.01041,1.16141,1.00651,0.899539,1.06171,-0.629014,0.0576659,-0.29533,0.239251,0.132992,-0.557852,-0.363448,-0.924047,-2.1068,-1.08662,-0.0990939,0.180528,0.613544,-0.16006,1.7804,0.315251,0.321584,0.107609,-0.113294,0.0231047,-0.104579,-0.072076
130,000009.SZ,1,0.355409,-0.225042,-1.20788,-0.741026,0.148723,-0.37425,0.699589,-1.00454,-1.22058,2.07759,-0.733803,-0.0405432,0.129161,-0.726158,-0.0893135,-0.0122733,-0.112465,-0.0922468,-0.245724,-1.03566,-1.24151,0.275668,0.280099,0.567653,0.62713,0.0650996,0.630786,-0.182657,-0.625101,-0.95429,0.515955,-2.71948,-0.732565,-2.92105,-0.691348,-2.6756,-1.59017,-2.83164,-0.821915,-2.27503,-2.67218,-2.91414,-2.76213,-1.56519,-1.12339,-0.644574,-0.62763,-0.703146,-0.765826,-0.555354,0.171622,0.255674,0.237609,-1.87007,-1.36525,-1.23427,-0.835881,-2.2344,-1.74588,-1.61972,-1.17998,0.322338,-0.0295509,0.151342,0.185559,-1.48623,-1.11652,-1.72072,-0.635776,-0.527143,-2.76299,-1.07861,-1.06254,-1.0583,-1.67429,-0.990301,-0.383754,-0.854436,0.0819717,0.823429,0.503747,0.721616,0.795936
130,000010.SZ,1,0.0293236,-0.855793,-0.546937,-1.68851,-0.978312,0.023791,0.114268,-0.832929,0.0911931,0.563849,0.186874,-0.369367,0.129888,0.0134242,-1.2616,0.8182,-1.05093,1.72381,1.21046,-0.0193513,-0.672469,-0.829691,0.0815081,-0.0771861,-1.77517,-0.649156,-0.0139722,-0.986692,-0.605457,0.984643,0.0221031,0.78061,0.407145,0.636128,0.963291,1.48691,1.47105,1.64448,1.46041,0.898055,1.39888,1.49568,1.54163,0.991381,0.287181,0.185173,-1.14415,2.44329,2.51611,2.13546,2.52331,0.167731,0.757385,1.69515,1.57011,1.36592,0.843555,1.90254,1.91913,1.72771,1.19989,0.914182,0.0306377,-0.156908,1.53018,0.172673,0.681636,0.560891,-1.20443,-0.412799,0.450989,-0.0526482,0.0959138,0.325974,-0.0850393,0.945919,0.167492,0.170856,0.0571722,-0.0601926,0.0122755,-0.0555622,-0.0382937
